Latitudine,Longitudine,Categorie
46.545514598,22.49933202,tumul
46.548756849,22.475541872,tumul
46.557520469,22.47625642,tumul
46.579544987,22.478376439,tumul
46.492465734,22.446018254,tumul
44.122021933,23.503443764,fortificație
45.272554865,21.588417329,castru
45.467900562,21.82271579,fortificație
45.483643571,21.738573823,fortificație
45.270186985,21.588406641,castru
45.400340741,21.680490046,anomalie necunoscută
45.515766293,21.879895661,fortificație
44.701570676,23.359359775,fortificație
44.73152334,23.332372461,anomalie necunoscută
44.659770546,24.321991715,anomalie necunoscută
46.290204546,21.920707617,fortificație
46.286876252,21.931544815,anomalie necunoscută
46.289792898,21.927813324,anomalie necunoscută
45.619525961,23.226903712,anomalie necunoscută
45.517192032,21.865968023,fortificație
45.515483998,21.870709095,anomalie necunoscută
44.998486294,21.623998437,anomalie necunoscută
46.344440503,21.912584815,anomalie necunoscută
46.333707656,21.860656179,fortificație
46.6860273,22.186217375,tumul
46.690716133,22.187690411,fortificație
46.673198899,22.127974782,fortificație
46.252870382,23.570668476,anomalie necunoscută
46.280596088,23.461497217,anomalie necunoscută
46.116727401,23.14661554,burgus
46.99114878,22.221807037,tumul
46.664697021,21.472756165,anomalie necunoscută
45.1984595,23.66200176,anomalie necunoscută
46.443394375,22.496557574,tumul
46.713852487,22.252740417,tumul
46.463036815,22.113679647,fortificație
46.528574056,22.118185784,fortificație
46.515376078,22.142701187,anomalie necunoscută
46.586045906,22.123732632,fortificație
46.627083318,22.258763584,tumul
46.641074745,22.231278455,tumul
46.304732523,22.406510388,tumul
46.300533621,22.41630796,fortificație
46.406377235,22.268563307,tumul
46.47291815,22.365426449,fortificație
46.299647844,22.449307713,fortificație
46.399402001,22.272320543,fortificație
46.364802676,22.314139393,tumul
45.740351996,22.806922817,anomalie necunoscută
48.218608,26.567307,anomalie necunoscută
48.248249368,26.637900107,tumul
44.639154009,23.557015239,fortificație
44.649641551,23.723020783,fortificație
44.577192966,23.760123382,tumul
44.531,23.753,fortificație
44.473078349,23.711073698,tumul
44.527175922,23.665686182,tumul
44.531489484,23.687737144,tumul
44.848653908,22.442075102,fortificație
44.852,22.453,fortificație
44.852,22.427,fortificație
44.8503651,22.457313354,fortificație
47.131178396,22.558940888,fortificație
43.975914356,22.926512874,fortificație
43.976771359,22.922071135,fortificație
43.972552812,22.91949085,fortificație
43.969670591,22.941835812,fortificație
43.966622598,22.886274374,fortificație
45.346186975,22.230967317,fortificație
45.020415046,22.70468191,fortificație
44.954405422,22.876880811,anomalie necunoscută
44.958540894,23.312496219,fortificație
45.05482649,23.638060628,fortificație
45.061880752,23.626611859,tumul
45.071785402,23.656306063,tumul
45.092689334,23.654445686,tumul
46.572963642,22.385509746,tumul
46.57919988,22.367624801,tumul
46.550059898,22.397141966,tumul
46.790045068,22.351778308,tumul
46.809628195,22.341712521,tumul
46.798289301,22.334966225,fortificație
46.814014794,22.335506951,fortificație
46.842475524,22.345562014,castru
46.979985799,22.304691593,tumul
46.999028514,22.353520677,tumul
46.946976547,22.233168874,tumul
46.934095933,22.150022523,fortificație
46.827404343,22.317834411,fortificație
46.855388427,22.329425862,tumul
46.910947878,22.223924893,fortificație
46.975675738,22.40047649,tumul
46.979843799,22.347098385,tumul
46.989857823,22.31542686,tumul
47.002780621,22.334030661,tumul
47.304024595,22.12686542,anomalie necunoscută
45.381839083,23.272299563,fortificație
45.386890042,23.26580647,fortificație
46.027364043,23.391323126,fortificație
45.787647028,23.316032439,fortificație
45.521191687,22.734241399,fortificație
45.533472142,22.911793504,fortificație
45.605241104,22.983344114,fortificație
45.43,26.451,anomalie necunoscută
45.731901996,23.143969808,castru
45.622091507,23.251273187,anomalie necunoscută
46.355514829,22.303766761,fortificație
46.626426121,22.213275395,tumul
46.614506217,22.215893303,tumul
46.612122812,22.234361921,fortificație
45.26330956,23.295973812,anomalie necunoscută
45.200115284,23.290991338,castru
45.138604296,23.15675107,fortificație
44.268460892,22.845140781,anomalie necunoscută
44.491952823,22.765627532,fortificație
46.819242409,27.90595293,tumul
44.764759721,23.654367375,fortificație
47.34363179,22.149125507,tumul
45.503098318,22.67422591,fortificație
45.688299553,24.250591313,fortificație
45.688651805,24.239347492,fortificație
45.689900408,24.230761206,fortificație
45.687179826,24.239944015,fortificație
45.140890904,23.8216616,tumul
45.151451543,23.83302927,anomalie necunoscută
46.50621128,22.516820781,tumul
45.98930497,21.358640006,fortificație
46.280496748,21.128620177,tumul
46.44262402,21.366302523,fortificație
46.490140481,21.300036941,fortificație
46.479750999,21.460197007,fortificație
46.581503603,21.373589553,fortificație
46.603107078,21.436846772,fortificație
46.530135926,21.393691056,anomalie necunoscută
46.794682975,21.597496066,anomalie necunoscută
46.545738911,21.451933655,fortificație
46.412301187,21.630716834,anomalie necunoscută
46.413466937,21.632793953,fortificație
46.227531015,21.693540606,fortificație
46.206759115,21.809162055,fortificație
46.214944538,21.716446668,anomalie necunoscută
46.242729512,22.032402311,fortificație
46.420682924,21.360172061,castru
46.023292164,22.028672967,anomalie necunoscută
46.41346549,21.629568849,anomalie necunoscută
46.252110687,21.099218861,fortificație
46.286342417,21.110134399,fortificație
44.899772142,27.708992991,castru
45.519777291,22.65817884,fortificație
45.859425978,22.881132464,anomalie necunoscută
45.954572137,22.220690119,fortificație
46.723985915,22.38852511,tumul
44.224455019,23.143175131,fortificație
44.198900157,23.109690434,fortificație
44.20520783,23.107362276,fortificație
44.200919209,23.032346255,fortificație
44.136457657,23.211831097,fortificație
43.95493869,23.167259704,fortificație
46.041957762,21.665871098,fortificație
46.281530782,21.932978693,fortificație
43.7708993,28.5362063,tumul
43.7715547,28.5250854,locuinta
43.7791698,28.539631,tumul
43.7801329,28.4618989,tumul
43.7812596,28.3139685,anomalie necunoscuta
43.7835708,28.4938305,tumul
43.7854809,28.562028,tumul
43.7965823,28.4105889,fortificatie
43.7968029,28.4401082,fortificatie
43.7983706,28.5355616,val
43.7992506,28.5423318,fortificatie
43.8144507,28.5871299,anomalie necunoscuta
43.8146545,28.5029679,val
43.8169484,28.4621764,anomalie necunoscuta
43.8209591,28.5122684,tumul
43.8223908,28.5434022,tumul
43.8227398,28.5636024,tumul
43.8248128,28.4443792,tumul
43.8300405,28.5150771,tumul
43.8361391,28.5654639,locuinta
43.8366576,28.5311295,fortificatie
43.8396547,28.5674702,fortificatie
43.8409356,28.3724755,locuinta
43.843793,28.4577735,fortificatie
43.850633,28.5494262,tumul
43.8518325,28.3349472,locuinta
43.8520934,28.5007885,tumul
43.8522501,28.5791129,tumul
43.8748408,28.5265147,val
43.8887496,28.5617139,tumul
43.890941,28.4404874,tumul
43.903517,28.5844559,fortificatie
43.9107448,28.5592414,tumul
43.9159531,28.4788642,tumul
43.9201789,28.4800992,tumul
43.9220113,28.5427581,tumul
43.9290197,28.2902934,tumul
43.9292893,28.5957871,tumul
43.930179,28.5566052,tumul
43.9312611,28.5493485,locuinta
43.9376257,28.2123674,tumul
43.9420338,28.0691714,tumul
43.9546859,28.6248141,anomalie necunoscuta
43.9567385,28.4340282,tumul
43.9608853,28.6163197,fortificatie
43.9660118,28.5511392,tumul
43.9662747,28.493123,tumul
43.9751041,28.2847213,tumul
43.9818305,28.2012997,fortificatie
43.9821694,28.5755659,tumul
43.986065,28.1426595,val
43.992921,28.5499291,fortificatie
43.9935042,28.5334626,val
43.9999434,28.1921469,fortificatie
44.0009078,28.528822,locuinta
44.0028782,28.658068,fortificatie
44.0050621,28.6082681,fortificatie
44.0097908,28.6001829,locuinta
44.0103827,28.3115352,fortificatie
44.010675,28.34225,anomalie necunoscuta
44.0130215,28.5489027,anomalie necunoscuta
44.0133308,28.5798225,fortificatie
44.0135313,28.632272,locuinta
44.0144334,28.3223881,val
44.0208853,28.5451843,fortificatie
44.0235369,28.5772799,tumul
44.0393499,28.5197198,fortificatie
44.0477289,28.2492843,locuinta
44.0562748,28.0899322,anomalie necunoscuta
44.0622048,28.0970133,castru
44.0650827,27.4584843,fortificatie
44.0660126,28.4670897,anomalie necunoscuta
44.0660287,28.0882926,fortificatie
44.0704828,27.8872429,tumul
44.070701,27.4523682,fortificatie
44.0767382,28.5566425,tumul
44.0770365,28.2633597,castru
44.0774195,27.403272,fortificatie
44.0845311,28.4032875,anomalie necunoscuta
44.0917555,27.9446226,locuinta
44.092821,27.3399128,anomalie necunoscuta
44.0970656,28.0805962,tumul
44.1004378,27.4091634,tumul
44.1012438,27.3822292,locuinta
44.1016881,27.9557732,tumul
44.1035812,27.4300203,fortificatie
44.1046773,28.0012656,anomalie necunoscuta
44.105463,27.4290244,tumul
44.1159212,28.226181,tumul
44.1207391,27.6610653,tumul
44.1244934,27.7916488,tumul
44.1284753,28.2677728,locuinta
44.1286916,27.6353979,fortificatie
44.1346206,28.4970899,fortificatie
44.1390438,28.4698375,anomalie necunoscuta
44.1401573,27.6223567,fortificatie
44.1412796,28.3665245,anomalie necunoscuta
44.1435258,27.9393977,tumul
44.145792,28.4938257,fortificatie
44.1472422,27.5077395,fortificatie
44.1473723,28.5293284,anomalie necunoscuta
44.1485836,27.6801104,tumul
